family,threshold,recall_100,qps,size_mb,build_s,latency_ms,latency_p99_ms,rss_mb,rss_peak_mb,rss_delta_mb,config
IVFFlat,0.95,0.96964,1096.9731827569085,10147.016848564148,2941.8852853309945,0.9113077864666896,0.911894117387652,15563.05078125,26106.9140625,14104.97265625,"nlist=16384, nprobe=64"
IVFFlat,-1.0,0.864266,3969.2644106558114,10147.016848564148,2941.8852853309945,0.2519972452675574,0.2521448228329828,15563.05078125,26106.9140625,14104.97265625,"nlist=16384, nprobe=16"
IVFPQ,0.5,0.534122,58466.86229104568,97.97874069213869,161.1393403930051,0.017088602266449,0.017107725363603,4401.0,16472.57421875,-2964.41015625,"nlist=1024, nprobe=1, M=64, nbits=8"
IVFPQ,-1.0,0.758794,13166.021914265555,200.1984062194824,796.240723900999,0.0759879156665798,0.0762169010276848,5089.26953125,19592.7265625,951.265625,"nlist=4096, nprobe=16, M=128, nbits=8"
IVFSQ,0.95,0.988164,96.71742422417378,2514.071578979492,19.76486982999631,10.338700945132588,10.343120770211067,7828.33203125,18082.203125,3220.77734375,"nlist=256, nprobe=16, sq=SQ8"
IVFSQ,-1.0,0.948128,424.6919927926325,2514.071578979492,19.76486982999631,2.354309476466733,2.3557377072004018,7828.33203125,18082.203125,3220.77734375,"nlist=256, nprobe=4, sq=SQ8"
HNSW,0.95,0.958852,7891.37265432612,10185.3939037323,362.2881539410009,0.1267616846666593,0.1270935244467691,10279.02734375,20536.34765625,10012.69921875,"M=16, efConstruction=200, efSearch=80"
HNSW,-1.0,0.917486,11849.8202696381,10107.568914413452,266.57782168600534,0.0845225287329716,0.0848352097802562,10175.796875,19461.2890625,9688.96484375,"M=8, efConstruction=200, efSearch=80"
LSH,0.2,0.252022,5146.326621649046,41.0982027053833,11.781949968004485,0.1941594155320975,0.1952845295434817,2142.3125,12399.81640625,83.48046875,nbits=256
LSH,-1.0,0.309896,2845.828972981952,82.19631671905518,21.44602916800068,0.3513095085994185,0.3518292967733578,2245.96875,12564.34765625,144.1171875,nbits=512
