algo,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base,M,nbits,sq
IVFFlat,256,1,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,23898.201089002778,0.041642747100013366,0.59288,0.528608,0.4120344,100000,,,
IVFFlat,256,4,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,4724.858308869532,0.21015910930000245,0.8944,0.854248,0.7764416,100000,,,
IVFFlat,256,16,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,1011.8097470841926,0.9879950295399976,0.98296,0.973656,0.9535044,100000,,,
IVFFlat,256,64,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,239.13303810983203,4.171949494660002,0.99804,0.997524,0.9963184,100000,,,
IVFFlat,256,256,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,81.58897001870291,12.218948117320032,1.0,0.999996,0.9999968,100000,,,
IVFFlat,1024,1,27.35894564099908,790.020884513855,3321.78125,3321.78125,79676.85870732045,0.01251526564003143,0.52348,0.428724,0.2509848,100000,,,
IVFFlat,1024,4,27.35894564099908,790.020884513855,3321.78125,3321.78125,26371.834869412327,0.037827766879963746,0.84304,0.770504,0.5991368,100000,,,
IVFFlat,1024,16,27.35894564099908,790.020884513855,3321.78125,3321.78125,5655.562529690884,0.17676440818002448,0.96776,0.942756,0.8744244,100000,,,
IVFFlat,1024,64,27.35894564099908,790.020884513855,3321.78125,3321.78125,1235.4422213762284,0.8089414335800029,0.99444,0.990716,0.9780048,100000,,,
IVFFlat,1024,256,27.35894564099908,790.020884513855,3321.78125,3321.78125,258.4823291751856,3.8671675497600155,0.99948,0.999248,0.998476,100000,,,
IVFPQ,256,1,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,128852.16961714174,0.007714129140003934,0.33064,0.408064,0.3827336,100000,32.0,8.0,
IVFPQ,256,4,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,87889.5143307578,0.011332655219994194,0.4038,0.517212,0.5493796,100000,32.0,8.0,
IVFPQ,256,16,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,40071.408275396876,0.024923854519984162,0.41456,0.536856,0.5794688,100000,32.0,8.0,
IVFPQ,256,64,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,14215.518154554442,0.07000917119996303,0.41524,0.538548,0.5819124,100000,32.0,8.0,
IVFPQ,256,256,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,5632.33094888812,0.17740166292001958,0.41524,0.538584,0.5819588,100000,32.0,8.0,
IVFPQ,256,1,12.467062310999609,10.868579864501953,5478.65625,5478.65625,95678.71009576556,0.010449411340014194,0.40464,0.45446,0.398592,100000,64.0,8.0,
IVFPQ,256,4,12.467062310999609,10.868579864501953,5478.65625,5478.65625,60064.7373895254,0.016628113160004433,0.51704,0.608596,0.6180872,100000,64.0,8.0,
IVFPQ,256,16,12.467062310999609,10.868579864501953,5478.65625,5478.65625,24462.119695791804,0.04083088446001057,0.5368,0.641784,0.668358,100000,64.0,8.0,
IVFPQ,256,64,12.467062310999609,10.868579864501953,5478.65625,5478.65625,8133.857669735235,0.12293250549999357,0.5386,0.645616,0.6735588,100000,64.0,8.0,
IVFPQ,256,256,12.467062310999609,10.868579864501953,5478.65625,5478.65625,3109.4528635583565,0.32143739842002106,0.53876,0.645708,0.6736964,100000,64.0,8.0,
IVFSQ,256,1,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,45809.42994230737,0.021806792699971992,0.58472,0.52484,0.414398,100000,,,SQ8
IVFSQ,256,4,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,12234.573581056735,0.08170654364002986,0.88032,0.84188,0.767794,100000,,,SQ8
IVFSQ,256,16,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,2989.3275394084544,0.33440448188001026,0.9724,0.964824,0.9480804,100000,,,SQ8
IVFSQ,256,64,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,843.4613582399057,1.1831602635599847,0.98776,0.990124,0.991324,100000,,,SQ8
IVFSQ,256,256,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,315.4298601265425,3.1664655336999927,0.9904,0.992704,0.9946144,100000,,,SQ8
