algo,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base
IVFFlat,256,1,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,23898.201089002778,0.041642747100013366,0.59288,0.528608,0.4120344,100000
IVFFlat,256,4,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,4724.858308869532,0.21015910930000245,0.8944,0.854248,0.7764416,100000
IVFFlat,256,16,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,1011.8097470841926,0.9879950295399976,0.98296,0.973656,0.9535044,100000
IVFFlat,256,64,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,239.13303810983203,4.171949494660002,0.99804,0.997524,0.9963184,100000
IVFFlat,256,256,7.5352408250000735,784.015025138855,2960.7109375,2960.7109375,81.58897001870291,12.218948117320032,1.0,0.999996,0.9999968,100000
IVFFlat,1024,1,27.35894564099908,790.020884513855,3321.78125,3321.78125,79676.85870732045,0.01251526564003143,0.52348,0.428724,0.2509848,100000
IVFFlat,1024,4,27.35894564099908,790.020884513855,3321.78125,3321.78125,26371.834869412327,0.037827766879963746,0.84304,0.770504,0.5991368,100000
IVFFlat,1024,16,27.35894564099908,790.020884513855,3321.78125,3321.78125,5655.562529690884,0.17676440818002448,0.96776,0.942756,0.8744244,100000
IVFFlat,1024,64,27.35894564099908,790.020884513855,3321.78125,3321.78125,1235.4422213762284,0.8089414335800029,0.99444,0.990716,0.9780048,100000
IVFFlat,1024,256,27.35894564099908,790.020884513855,3321.78125,3321.78125,258.4823291751856,3.8671675497600155,0.99948,0.999248,0.998476,100000
